datalocation|endtime|eventid|height|heightUncertaintyHigh|heightUncertaintyLow|length|lengthUncertaintyHigh|lengthUncertaintyLow|latitude|longitude|name|quality|starttime|type|subtype|volume|volumeUncertaintyHigh|volumeUncertaintyLow
IRIS|2019_08_24 235121|262|610.0|||500.0|600.0|400.0|37.26797|-112.93424|Cable Mountain, Zion National Park|5|2019_08_24 234820|rock avalanche|Rock/ice/debris avalanches and slides|12000.0|13800.0|10200.0
IRIS|2022_09_15 050544|294|700.0|750.0|650.0|1800.0|1900.0|1700.0|60.1648|-148.9901|Ellsworth Glacier|4|2022_09_15 050134|rock avalanche|Rock/ice/debris avalanches and slides|2100000.0|3100000.0|1400000.0
INGV, ETH|2009_10_27 063056|254|250.0|||316.0|||46.5367|8.6418|Val Canaria, Switzerland|5|2009_10_27 062941|rock slide|Rock/ice/debris avalanches and slides|398000.0|430000.0|365000.0
IRIS|2017_12_16 120706|267|1200.0|1300.0|1100.0|10800.0|12000.0||-43.3599|-72.43125|Villa Santa Lucía, Chile|5|2017_12_16 120213|rock slide, debris flow|Rock/ice/debris avalanches and slides|7200000.0|33000000.0|3400000.0
IRIS|2010_06_05 113616|62|350.0|450.0|250.0|700.0|1100.0|300.0|46.8483|-121.7456|Mount Rainier|3|2010_06_05 113448|snow avalanche|Snow avalanches|18000.0|29000.0|10000.0
ETH|2002_06_06 083825|236|320.0|||550.0|||46.749|9.0677|Tavanasa, Switzerland|4|2002_06_06 083658|rock slide|Rock/ice/debris avalanches and slides|90000.0|108000.0|72000.0
IRIS, Attachments below|2004_02_09 215021|55|1700.0|||6200.0|||60.0262|-153.0886|Umbrella Glacier, Iliamna|5|2004_02_09 214754|ice avalanche|Rock/ice/debris avalanches and slides|3500000.0|5000000.0|2500000.0
IRIS|2020_10_17 212118|283|770.0|790.0|750.0|2200.0|2500.0|2000.0|61.2411|-147.9429|Barry Arm|4|2020_10_17 211800|rock and ice avalanche|Rock/ice/debris avalanches and slides|370000.0|560000.0|250000.0
IRIS|2013_05_12 190557|288|350.0|||580.0|640.0|530.0|56.9267|-135.1338|Redoubt Lake|4|2013_05_12 190443|landslide|Rock/ice/debris avalanches and slides|160000.0|260000.0|100000.0
IRIS|2022_09_17 181409|286|1080.0|1100.0|1000.0|6300.0|6400.0|6200.0|58.7405|-136.9573|Lamplugh Glacier|4|2022_09_17 181018|rock avalanche|Rock/ice/debris avalanches and slides|14000000.0|20000000.0|10000000.0
IRIS, INGV, ETH|2014_11_12 121609|306|1600.0|||2000.0|||46.4535|12.2607|Antelao, Italy|5|2014_11_12 121409|rock slide|Rock/ice/debris avalanches and slides|680000.0||
IRIS|1992_10_23 155954|126|1000.0|||2000.0|||46.8746|-121.7537|Russell Cliff, Mount Rainier|3|1992_10_23 155836|rock fall, debris avalanche|Rock/ice/debris avalanches and slides|75000.0|100000.0|50000.0
IRIS, Attachments below|2005_05_15 170812|70|1400.0|1460.0|1300.0|3800.0|4400.0|3000.0|59.981|-153.06354|South Twin 6|3|2005_05_15 170714|rock avalanche|Rock/ice/debris avalanches and slides|52000.0|77000.0|35000.0
No digital data|1977_07_14 042110|105|220.0|250.0|190.0|480.0|530.0|430.0|48.77312|-121.81685|Mount Baker|3|1977_07_14 041955|ice avalanche|Rock/ice/debris avalanches and slides|300000.0||
IRIS|2012_06_11 222652|19|2400.0|2500.0|2300.0|9300.0|9500.0|9100.0|58.79367|-137.44247|Mount Lituya main|4|2012_06_11 222400|rock and ice avalanche|Rock/ice/debris avalanches and slides|13000000.0|60000000.0|2800000.0
IRIS|2009_08_10 110853|275|1500.0|||7200.0|7500.0|7000.0|23.2281|120.7517|Butangbunasi, Taiwan|5|2009_08_10 110556|landslide|Rock/ice/debris avalanches and slides|83800000.0||
IRIS, NCEDC|2010_07_09 073820|188|1800.0|1900.0|1600.0|7600.0|7900.0|7300.0|51.8713|-125.9434|Sheemahant Glacier|4|2010_07_09 073435|rock slide|Rock/ice/debris avalanches and slides|3800000.0|5400000.0|2700000.0
